TICKER,SECTOR
XLC,Communications
VOX,Communications
FCOM,Communications
VCR,Consumer Cyclical
FDIS,Consumer Cyclical
RSPD,Consumer Cyclical
VDC,Consumer Defensive
XLP,Consumer Defensive
FSTA,Consumer Defensive
VDE,Equity Energy
XLE,Equity Energy
IYE,Equity Energy
KCE,Financial
KBWP,Financial
FNCL,Financial
XHE,Health
VHT,Health
RSPH,Health
VIS,Industrials
FIDU,Industrials
XLI,Industrials
IFRA,Infrastructure
GII,Infrastructure
TOLZ,Infrastructure
DRIV,Miscellaneous Sector
XT,Miscellaneous Sector
ACES,Miscellaneous Sector
VAW,Natural Resources
XLB,Natural Resources
FMAT,Natural Resources
USRT,Real Estate
XLRE,Real Estate
SCHH,Real Estate
XLK,Technology
SOXQ,Technology
RSPT,Technology
VPU,Utilities
XLU,Utilities
IDU,Utilities
